County,GDP 2020,GDP 2021,GDP 2022,GDP 2023,GDP Rank in State,Percent Change 2021,Percent Change 2022,Percent Change 2023,Percent Change Rank in State
United States,"20,267,585,000","21,494,798,000","22,034,828,000","22,671,096,000",--,6.1,2.5,2.9,--
,,,,,,,,,
Alabama,"222,288,753","233,726,620","238,556,458","245,354,674",--,5.1,2.1,2.8,--
"Autauga County, Alabama","1,746,979","1,736,001","1,895,751","1,945,909",23,-0.6,9.2,2.6,32
"Baldwin County, Alabama","8,109,210","8,706,236","9,145,388","9,435,720",7,7.4,5.0,3.2,20
"Barbour County, Alabama","732,151","753,330","744,850","715,994",42,2.9,-1.1,-3.9,62
"Bibb County, Alabama","460,844","460,027","457,625","466,543",52,-0.2,-0.5,1.9,36
"Blount County, Alabama","906,582","1,033,615","1,031,061","987,208",34,14.0,-0.2,-4.3,64
"Bullock County, Alabama","269,007","260,950","252,515","267,926",64,-3.0,-3.2,6.1,8
"Butler County, Alabama","601,322","639,245","656,864","660,757",43,6.3,2.8,0.6,43
"Calhoun County, Alabama","4,454,207","4,704,903","4,593,362","4,764,871",12,5.6,-2.4,3.7,18
"Chambers County, Alabama","882,006","876,257","878,621","903,782",38,-0.7,0.3,2.9,27
"Cherokee County, Alabama","534,073","597,740","607,982","599,214",47,11.9,1.7,-1.4,58
"Chilton County, Alabama","1,069,934","1,096,741","1,148,340","1,215,493",33,2.5,4.7,5.8,10
"Choctaw County, Alabama","562,101","574,699","629,451","618,810",45,2.2,9.5,-1.7,60
"Clarke County, Alabama","850,374","843,622","826,142","850,844",39,-0.8,-2.1,3.0,25
"Clay County, Alabama","424,267","439,087","430,827","386,382",56,3.5,-1.9,-10.3,67
"Cleburne County, Alabama","279,348","322,737","327,915","327,927",62,15.5,1.6,0.0,47
"Coffee County, Alabama","1,399,269","1,611,624","1,697,570","1,709,663",25,15.2,5.3,0.7,42
"Colbert County, Alabama","2,533,138","2,599,438","2,725,169","2,802,771",19,2.6,4.8,2.8,28
"Conecuh County, Alabama","372,518","383,099","353,766","383,453",57,2.8,-7.7,8.4,3
"Coosa County, Alabama","178,814","179,578","192,430","181,781",67,0.4,7.2,-5.5,65
"Covington County, Alabama","1,214,635","1,265,158","1,228,528","1,234,498",32,4.2,-2.9,0.5,44
"Crenshaw County, Alabama","373,160","421,499","451,774","450,012",53,13.0,7.2,-0.4,49
"Cullman County, Alabama","2,807,111","3,040,101","3,140,935","3,089,606",15,8.3,3.3,-1.6,59
"Dale County, Alabama","2,780,156","2,914,662","2,901,900","3,035,393",16,4.8,-0.4,4.6,14
"Dallas County, Alabama","1,251,466","1,263,410","1,281,057","1,344,905",30,1.0,1.4,5.0,13
"DeKalb County, Alabama","1,889,298","2,135,305","2,298,160","2,207,302",20,13.0,7.6,-4.0,63
"Elmore County, Alabama","1,971,078","2,059,511","2,067,822","2,161,855",21,4.5,0.4,4.5,15
"Escambia County, Alabama","1,198,870","1,205,741","1,228,916","1,279,587",31,0.6,1.9,4.1,17
"Etowah County, Alabama","2,824,810","2,919,437","2,952,383","3,002,919",17,3.3,1.1,1.7,38
"Fayette County, Alabama","337,273","346,919","350,410","356,603",59,2.9,1.0,1.8,37
"Franklin County, Alabama","909,753","984,245","1,049,672","985,317",36,8.2,6.6,-6.1,66
"Geneva County, Alabama","558,832","580,310","577,775","578,990",48,3.8,-0.4,0.2,45
"Greene County, Alabama","211,650","196,768","203,081","216,280",65,-7.0,3.2,6.5,6
"Hale County, Alabama","274,941","253,625","242,703","272,820",63,-7.8,-4.3,12.4,2
"Henry County, Alabama","448,782","464,907","472,987","485,965",51,3.6,1.7,2.7,31
"Houston County, Alabama","5,612,946","5,826,046","5,797,692","5,971,112",10,3.8,-0.5,3.0,24
"Jackson County, Alabama","1,459,631","1,536,306","1,552,792","1,596,941",28,5.3,1.1,2.8,29
"Jefferson County, Alabama","45,495,547","47,968,143","48,873,088","49,903,057",1,5.4,1.9,2.1,34
"Lamar County, Alabama","328,150","337,655","332,268","330,918",61,2.9,-1.6,-0.4,51
"Lauderdale County, Alabama","2,633,162","2,753,387","2,819,956","2,922,201",18,4.6,2.4,3.6,19
"Lawrence County, Alabama","565,359","599,674","639,821","627,737",44,6.1,6.7,-1.9,61
"Lee County, Alabama","6,202,804","6,592,171","6,609,805","6,987,631",8,6.3,0.3,5.7,11
"Limestone County, Alabama","4,152,291","4,672,452","4,869,837","5,181,859",11,12.5,4.2,6.4,7
"Lowndes County, Alabama","380,643","398,385","412,426","422,687",54,4.7,3.5,2.5,33
"Macon County, Alabama","523,697","542,023","552,590","563,676",49,3.5,1.9,2.0,35
"Madison County, Alabama","26,578,200","27,897,745","29,190,325","30,905,624",2,5.0,4.6,5.9,9
"Marengo County, Alabama","799,999","819,010","808,939","822,370",40,2.4,-1.2,1.7,39
"Marion County, Alabama","875,066","933,761","980,218","976,241",37,6.7,5.0,-0.4,50
"Marshall County, Alabama","3,513,964","3,756,397","3,903,250","3,873,554",13,6.9,3.9,-0.8,53
"Mobile County, Alabama","20,629,953","21,930,668","22,053,143","23,187,207",3,6.3,0.6,5.1,12
"Monroe County, Alabama","645,004","645,366","618,929","611,516",46,0.1,-4.1,-1.2,56
"Montgomery County, Alabama","13,790,378","14,290,065","14,564,228","15,024,566",4,3.6,1.9,3.2,21
"Morgan County, Alabama","5,752,406","5,967,835","6,233,831","6,409,604",9,3.7,4.5,2.8,30
"Perry County, Alabama","200,884","187,031","180,477","204,764",66,-6.9,-3.5,13.5,1
"Pickens County, Alabama","437,136","433,955","402,700","414,576",55,-0.7,-7.2,2.9,26
"Pike County, Alabama","1,385,275","1,548,274","1,565,134","1,613,119",27,11.8,1.1,3.1,23
"Randolph County, Alabama","461,568","505,296","500,247","494,719",50,9.5,-1.0,-1.1,55
"Russell County, Alabama","1,518,639","1,604,962","1,675,552","1,697,224",26,5.7,4.4,1.3,41
"St. Clair County, Alabama","1,996,200","2,104,074","2,080,846","2,113,414",22,5.4,-1.1,1.6,40
"Shelby County, Alabama","12,202,275","12,883,843","13,078,938","13,047,437",5,5.6,1.5,-0.2,48
"Sumter County, Alabama","323,200","314,818","310,362","332,733",60,-2.6,-1.4,7.2,5
"Talladega County, Alabama","3,049,141","3,187,373","3,219,199","3,201,599",14,4.5,1.0,-0.5,52
"Tallapoosa County, Alabama","1,335,855","1,416,399","1,433,222","1,422,123",29,6.0,1.2,-0.8,54
"Tuscaloosa County, Alabama","10,292,005","10,452,341","10,419,259","10,745,352",6,1.6,-0.3,3.1,22
"Walker County, Alabama","1,683,379","1,681,182","1,807,241","1,809,493",24,-0.1,7.5,0.1,46
"Washington County, Alabama","833,596","903,018","944,983","985,765",35,8.3,4.6,4.3,16
"Wilcox County, Alabama","410,304","359,380","340,873","366,399",58,-12.4,-5.1,7.5,4
"Winston County, Alabama","801,044","808,178","797,971","787,107",41,0.9,-1.3,-1.4,57
,,,,,,,,,
Alaska,"50,332,774","51,454,146","50,767,108","54,059,682",--,2.2,-1.3,6.5,--
"Aleutians East Borough, Alaska","240,184","278,729","286,836","291,546",17,16.0,2.9,1.6,19
"Aleutians West Census Area, Alaska","879,026","834,484","705,081","740,425",10,-5.1,-15.5,5.0,10
"Anchorage Municipality, Alaska","22,366,993","22,868,303","23,169,490","24,036,883",1,2.2,1.3,3.7,14
"Bethel Census Area, Alaska","681,822","661,162","663,577","687,011",11,-3.0,0.4,3.5,15
"Bristol Bay Borough, Alaska","124,970","145,045","148,524","148,036",23,16.1,2.4,-0.3,23
"Chugach Census Area, Alaska","1,268,010","1,330,368","1,406,228","1,341,672",7,5,5.7,-4.6,27
